,species
771,Clavibacter michiganensis
772,Leuconostoc mesenteroides
773,Prescottella equi
774,Streptomyces avermitilis
775,Acinetobacter johnsonii
776,Brochothrix thermosphacta
777,Caulobacter vibrioides
778,Prochlorococcus sp.
779,Roseobacter denitrificans
780,Salmonella sp.
781,Shigella sonnei
782,Lactobacillus sp.
783,Morganella morganii
786,Planktothrix agardhii
787,Riemerella anatipestifer
788,Campylobacter coli
789,Streptococcus salivarius
790,Psychrobacter sp.
791,Rhodobacter capsulatus
792,Gordonia rubripertincta
793,Vibrio sp.
794,Rhodococcus rhodochrous
795,Rhodococcus globerulus
796,Rhodococcus erythropolis
797,Nocardia brasiliensis
798,Xanthomonas vesicatoria
799,Erwinia pyrifoliae
800,Pectobacterium atrosepticum
801,Staphylococcus hominis
802,Staphylococcus capitis
803,Pectobacterium carotovorum
804,Bdellovibrio bacteriovorus
805,Clostridium sporogenes
806,Enterococcus faecium
807,Weissella cibaria
808,Dorea formicigenerans
810,Celeribacter sp.
812,Croceibacter atlanticus
813,Marinomonas sp.
814,Aeromonas hydrophila
815,Aeromonas sp.
816,Streptomyces sp.
817,Listeria sp.
819,Streptomyces coelicolor
820,Acinetobacter soli
821,Providencia stuartii
823,Leuconostoc pseudomesenteroides
824,Streptomyces lividans
825,Vibrio splendidus
826,Bacillus mycoides
827,Mycobacterium avium
828,Salmonella enterica
829,Pseudoalteromonas marina
830,Flavobacterium psychrophilum
831,Yersinia pseudotuberculosis
832,Trichormus variabilis
833,Microcystis aeruginosa
834,Staphylococcus saprophyticus
835,Erwinia sp.
836,Brevibacillus laterosporus
837,Leptolyngbya boryana
838,Proteus mirabilis
839,Vibrio alginolyticus
840,Phormidium sp.
841,Enterococcus sp.
842,Rhizobium leguminosarum
843,Rhizobium gallicum
844,Shewanella sp.
845,Microbacterium oxydans
846,Arthrobacter sp.
847,Nitrincola sp.
848,Escherichia coli
849,Lactococcus garvieae
850,Dickeya sp.
851,Vibrio anguillarum
852,Staphylococcus xylosus
855,Lelliottia sp.
856,Staphylococcus sp.
857,Clostridium tetani
858,Streptococcus parauberis
859,Paracoccus marcusii
860,Rhodoferax sp.
861,Streptomyces griseus
863,Gordonia sputi
864,Salmonella enterica
865,Shewanella putrefaciens
866,Delftia tsuruhatensis
867,Enterobacter cancerogenus
868,Clostridium paraputrificum
869,Coprobacillus cateniformis
870,Bacillus velezensis
871,Bacteroides xylanisolvens
872,Coprococcus eutactus
875,Lachnospira eligens
876,Catenibacterium mitsuokai
877,Mediterraneibacter faecis
878,Ligilactobacillus salivarius
879,Anaerostipes hadrus
881,Ligilactobacillus apodemi
882,Fusobacterium mortiferum
883,Alistipes shahii
884,Orientia tsutsugamushi
885,Clostridium saudiense
886,Parvimonas micra
887,Bacteroides eggerthii
888,Clostridiales bacterium
889,Bacteroides uniformis
890,Butyricimonas virosa
891,Bacillus safensis
892,Paraclostridium sordellii
893,Parabacteroides distasonis
894,Paraclostridium bifermentans
896,Intestinibacter bartlettii
897,Bacteroides thetaiotaomicron
898,Thomasclavelia ramosa
899,Fusobacterium varium
900,Fusobacterium ulcerans
901,Moraxella catarrhalis
902,Macrococcoides caseolyticum
903,Eubacterium ramulus
904,Blautia wexlerae
905,Acinetobacter calcoaceticus
906,Faecalibacterium prausnitzii
907,Moraxella bovoculi
908,Glaesserella parasuis
909,Ruminococcus callidus
910,Roseburia intestinalis
911,Leptospira interrogans
912,Ligilactobacillus murinus
913,Streptococcus mitis
914,Turicibacter sanguinis
915,Ruminococcus bromii
916,Lachnospiraceae bacterium
917,Erysipelothrix rhusiopathiae
918,Campylobacter fetus
919,Parabacteroides goldsteinii
920,Leyella stercorea
921,Blautia hansenii
922,Clostridium butyricum
923,Enterococcus durans
924,Blautia obeum
925,[Clostridium] nexile
926,Staphylococcus pseudintermedius
927,Roseburia hominis
928,Flavonifractor plautii
929,[Bacteroides] pectinophilus
930,Bacteroides faecis
931,Coprococcus catus
932,Chlamydia trachomatis
933,Helicobacter cinaedi
934,[Clostridium] symbiosum
935,Butyricicoccus pullicaecorum
936,Neisseria lactamica
937,Paenibacillus polymyxa
938,Streptomyces scabiei
939,Streptomyces sanglieri
940,Campylobacter concisus
941,[Eubacterium] siraeum
942,Fusicatenibacter saccharivorans
943,Holdemanella biformis
944,Levilactobacillus brevis
945,Limosilactobacillus vaginalis
946,Lactobacillus amylovorus
947,Ruthenibacterium lactatiformans
948,Dorea longicatena
949,Veillonella atypica
950,Bacteroides salyersiae
951,Phocaeicola massiliensis
952,Bifidobacterium longum
953,Bacteroides caccae
954,Companilactobacillus paralimentarius
955,Corynebacterium striatum
956,Phocaeicola plebeius
957,Acinetobacter junii
958,Teredinibacter turnerae
959,Bordetella pertussis
960,Histophilus somni
961,Corynebacterium ulcerans
962,Paenibacillus peoriae
963,Dichelobacter nodosus
964,Odoribacter splanchnicus
965,Leptotrichia wadei
966,Limosilactobacillus reuteri
967,Enterobacter hormaechei
968,Arthrobacter globiformis
969,Clostridium phoceensis
970,Ligilactobacillus ruminis
971,Providencia alcalifaciens
972,Streptococcus lutetiensis
973,Barnesiella intestinihominis
974,Intestinimonas butyriciproducens
975,Peptacetobacter hiranonis
976,Leptospira alexanderi
977,Citrobacter braakii
978,Cloacibacillus evryensis
979,Hungatella hathewayi
980,Bifidobacterium pseudocatenulatum
981,Pantoea ananatis
982,Bacteroides oleiciplenus
983,Eubacterium ventriosum
984,Pluralibacter gergoviae
985,Gordonia rubripertincta
986,Neisseria gonorrhoeae
987,Corynebacterium spheniscorum
988,Aeromonas veronii
989,Enterococcus hirae
990,Yersinia frederiksenii
991,Burkholderia vietnamiensis
992,Klebsiella variicola
993,Ralstonia pseudosolanacearum
994,Streptococcus parasanguinis
995,Sellimonas intestinalis
996,Anaerobutyricum hallii
997,Hafnia alvei
998,Streptomyces viridochromogenes
999,Parabacteroides gordonii
1000,Treponema denticola
1001,Lacrimispora saccharolytica
1002,Cereibacter sphaeroides
1003,Bacteroides cellulosilyticus
1004,Bacteroides neonati
1005,Eggerthella lenta
1006,Aliivibrio fischeri
1007,Mycobacterium gordonae
1008,Streptomyces mirabilis
1009,Acidaminococcus intestini
1010,Microbacterium foliorum
1011,Streptomyces platensis
1012,Bradyrhizobium japonicum
1013,Mycobacteroides abscessus
1014,Yersinia kristensenii
1015,Enterobacter chengduensis
1016,Sinorhizobium medicae
1017,Roseburia inulinivorans
1018,Desulfovibrio piger
1019,Borreliella burgdorferi
1020,Klebsiella aerogenes
1021,Bifidobacterium adolescentis
1022,Agrobacterium tumefaciens
1023,Corynebacterium vitaeruminis
1024,Limosilactobacillus antri
1025,Campylobacter lari
1026,Cronobacter malonaticus
1027,Enterobacter roggenkampii
1028,Haemophilus haemolyticus
1029,Roseburia faecis
1030,Enterobacter kobei
1031,Burkholderia ubonensis
1032,Proteus vulgaris
1033,Raoultella ornithinolytica
1034,Vibrio breoganii
1035,Bacillus licheniformis
1036,Streptomyces griseofuscus
1037,Microbacterium paraoxydans
1038,Mycobacterium colombiense
1039,Bilophila wadsworthia
1040,Tidjanibacter massiliensis
1041,Caecibacter massiliensis
1042,Shigella dysenteriae
1043,Bifidobacterium pseudolongum
1044,Lactobacillus crispatus
1046,Caulobacter vibrioides
1047,Collinsella intestinalis
1048,Gordonia malaquae
1049,Pseudomonas amygdali
1050,Bifidobacterium angulatum
1051,Coxiella burnetii
1052,Salinispora arenicola
1053,Klebsiella michiganensis
1054,Yersinia intermedia
1055,Anaerostipes caccae
1056,Erwinia tracheiphila
1057,Sphingomonas koreensis
1058,Enterobacter ludwigii
1059,Salinispora pacifica
1060,Blautia producta
1061,Leptospira kirschneri
1062,Acinetobacter radioresistens
1063,Provencibacterium massiliense
1064,Neisseria meningitidis
1065,Staphylococcus haemolyticus
1066,Bifidobacterium gallicum
1067,Enterobacter bugandensis
1068,Pediococcus acidilactici
1069,Photorhabdus luminescens
1070,Enterocloster bolteae
1071,Mitsuokella jalaludinii
1072,Streptococcus pasteurianus
1073,Corynebacterium xerosis
1074,Cutibacterium acnes
1075,Mycobacterium intracellulare
1076,Aerococcus urinae
1077,Streptomyces xanthochromogenes
1078,Bacteroides intestinalis
1079,Gordonibacter pamelaeae
1080,Citrobacter amalonaticus
1081,Mycobacteroides immunogenum
1082,Janthinobacterium lividum
1083,Streptococcus vestibularis
1084,Neisseria polysaccharea
1086,Mitsuokella multacida
1087,Sutterella wadsworthensis
1088,Nocardia terpenica
1089,Bacteroides stercoris
1090,Burkholderia gladioli
1091,Butyricimonas synergistica
1092,Bifidobacterium bifidum
1093,Yokenella regensburgei
1094,Mycobacteroides chelonae
1095,Prescottella equi
1096,Enterobacter hormaechei
1097,Dielma fastidiosa
1102,Enterocloster citroniae
1126,Anaerofustis stercorihominis
1129,Alistipes onderdonkii
1135,Bifidobacterium catenulatum
1144,Collinsella tanakaei
1150,Staphylococcus warneri
1159,Mediterraneibacter gnavus
1160,Bacteroides cutis
1165,[Clostridium] leptum
1169,Holdemania filiformis
1170,Holdemania massiliensis
1172,Bacteroides clarus
1175,Solobacterium moorei
1182,Streptococcus anginosus
1193,Paraprevotella clara
1199,Enterococcus asini
1200,Anaerotruncus rubiinfantis
1202,Weissella confusa
1207,[Ruminococcus] torques
1208,[Ruminococcus] lactaris
1209,Vagococcus teuberi
1210,Bacillus sonorensis
1214,Senegalimassilia anaerobia
1219,Eisenbergiella tayi
1223,Enterocloster lavalensis
1239,Alistipes putredinis
1240,Streptococcus infantarius
1241,Providencia rustigianii
1243,Subdoligranulum variabile
1244,Blautia hydrogenotrophica
1245,Bifidobacterium breve
1246,Fusobacterium periodonticum
1247,Fusobacterium gonidiaformans
1249,Oxalobacter formigenes
1251,Lentilactobacillus hilgardii
1254,Weissella paramesenteroides
1257,Fusobacterium animalis
1258,Collinsella aerofaciens
1260,Bifidobacterium dentium
1261,Anaerococcus hydrogenalis
1262,Marvinbryantia formatexigens
1264,Hafnia paralvei
1267,Paraprevotella xylaniphila
1269,Ruminococcus champanellensis
1270,Dysgonomonas mossii
1271,Desulfovibrio fairfieldensis
1272,Ralstonia pickettii
1273,Alistipes indistinctus
1274,Desulfitobacterium hafniense
1275,Citrobacter portucalensis
1276,Listeria innocua
1277,Oceanobacillus massiliensis
1278,Paenibacillus senegalensis
1279,Kurthia massiliensis
1280,Clostridium senegalense
1282,Alistipes communis
1283,Timonella senegalensis
1284,Clostridium celatum
1285,Anaerococcus senegalensis
1286,Phytobacter massiliensis
1287,Bacillus massilioanorexius
1288,Alistipes ihumii
1289,Bacteroides nordii
1290,Corynebacterium ihumii
1292,Streptomyces albus
1293,Prevotella phocaeensis
1295,Dermabacter hominis
1296,Paenibacillus antibioticophila
1297,Candidatus Stoquefichus massiliensis
1298,Aneurinibacillus aneurinilyticus
1300,Pseudomonas luteola
1303,Virgibacillus massiliensis
1304,Oceanobacillus jeddahense
1305,Anaerosalibacter massiliensis
1308,Clostridium polynesiense
1311,Pseudomonas massiliensis
1312,Beduini massiliensis
1314,Bacillus testis
1316,Bacillus andreraoultii
1319,Flaviflexus massiliensis
1320,Numidum massiliense
1322,Paenibacillus ihumii
1323,Lagierella massiliensis
1325,Actinomyces ihuae
1328,Paenibacillus senegalimassiliensis
1329,Fournierella massiliensis
1330,Anaerococcus rubeinfantis
1332,Paenibacillus phocaensis
1333,Pseudenterobacter timonensis
1334,Corynebacterium provencense
1337,Corynebacterium bouchesdurhonense
1338,Olegusella massiliensis
1339,Emergencia timonensis
1340,Paenibacillus tuaregi
1342,Acidaminococcus massiliensis
1343,Streptococcus timonensis
1344,Massilioclostridium coli
1345,Alistipes timonensis
1348,Lactobacillus intestinalis
1349,Mammaliicoccus lentus
1350,Enterobacter mori
1353,Adlercreutzia equolifaciens
1356,Staphylococcus nepalensis
1357,Bacteroides finegoldii
1365,Bacteroides acidifaciens
1368,Clostridium baratii
1376,Anaerotruncus colihominis
1379,Exiguobacterium profundum
1381,Corynebacterium propinquum
1385,Ligilactobacillus animalis
1388,Peptoniphilus harei
1389,Citrobacter pasteurii
1390,Clostridium tyrobutyricum
1392,Bacillus paralicheniformis
1393,Parabacteroides johnsonii
1395,Lactobacillus johnsonii
1397,Fusobacterium massiliense
1400,Dakarella massiliensis
1404,Lactococcus cremoris
1409,Coprobacter fastidiosus
1413,Intestinimonas massiliensis (ex Afouda et al. 2020)
1415,Elizabethkingia meningoseptica
1418,Gabonibacter massiliensis
1421,Escherichia albertii
1423,Citrobacter koseri
1426,Sarcina ventriculi
1429,Enorma timonensis
1430,Murdochiella massiliensis
1431,Klebsiella quasipneumoniae
1432,Salmonella bongori
1433,Finegoldia magna
1434,Peptoniphilus senegalensis
1438,Clostridium disporicum
1440,Legionella pneumophila
1579,Burkholderia multivorans
1619,Xanthomonas cissicola
1620,Desulfotignum phosphitoxidans
1621,Arsenophonus nasoniae
1622,Aggregatibacter actinomycetemcomitans
1624,Xanthomonas vasicola
1627,Xanthomonas phaseoli
1628,Herbaspirillum rubrisubalbicans
1632,Acinetobacter colistiniresistens
1635,Pseudomonas nitroreducens
1636,Providencia sneebia
1637,Vibrio astriarenae
1638,Xenorhabdus bovienii
1641,Izhakiella australiensis
1642,Xanthomonas perforans
1643,Acinetobacter bereziniae
1644,Vibrio crassostreae
1645,Burkholderia mallei
1646,Stenotrophomonas pavanii
1647,Streptococcus marmotae
1649,Vibrio campbellii
1652,Cupriavidus metallidurans
1674,Photobacterium profundum
1677,Pseudoalteromonas distincta
1680,Sulfurospirillum barnesii
1684,Desulfobacter postgatei
1685,Beggiatoa alba
1688,Cupriavidus neocaledonicus
1691,Enterocloster clostridioformis
1693,Alishewanella jeotgali
1694,Enterocloster citroniae
1697,Uliginosibacterium gangwonense
1698,Rodentibacter pneumotropicus
1699,Methyloversatilis universalis
1701,Paraburkholderia tuberum
1702,Methyloversatilis thermotolerans
1703,Vreelandella zhanjiangensis
1705,Variovorax paradoxus
1712,Kushneria aurantia
1716,Marinimicrobium agarilyticum
1717,Conchiformibius kuhniae
1718,Moraxella caprae
1719,Chitinimonas koreensis
1720,Spongiibacter tropicus
1722,Comamonas composti
1723,Vibrio litoralis
1724,Aeromonas dhakensis
1725,Azovibrio restrictus
1726,Lacrimispora indolis
1727,Pectobacterium parmentieri
1730,Enterocloster bolteae
1731,Thauera humireducens
1733,Alcanivorax hongdengensis
1734,Haemophilus quentini
1735,Pectobacterium wasabiae
1739,Vibrio diabolicus
1740,Sulfurimonas hongkongensis
1741,Vreelandella titanicae
1743,Vibrio cyclitrophicus
1745,Pseudoalteromonas piscicida
1746,Burkholderia humptydooensis
1747,Pseudoalteromonas ruthenica
1748,Burkholderia stagnalis
1749,Xanthomonas cassavae
1754,Deefgea rivuli
1756,Conchiformibius steedae
1757,Alcaligenes phenolicus
1759,Alkanindiges illinoisensis
1760,Comamonas thiooxydans
1762,Simonsiella muelleri
1765,Pandoraea communis
1766,Acinetobacter parvus
1768,Acinetobacter courvalinii
1769,Acinetobacter baylyi
1770,Acinetobacter gerneri
1771,Acinetobacter guillouiae
1772,Acinetobacter nosocomialis
1773,Pseudoalteromonas arctica
1774,Vibrio owensii
1775,Xenophilus azovorans
1776,Acinetobacter ursingii
1777,Alysiella filiformis
1778,Methylomicrobium agile
1779,Acinetobacter lactucae
1783,Paraburkholderia acidipaludis
1784,Stenotrophomonas indicatrix
1786,Vibrio fortis
1791,Anaerocolumna jejuensis
1792,Azomonas agilis
1793,Burkholderia oklahomensis
1795,Azotobacter beijerinckii
1796,Giesbergeria anulus
1797,Rheinheimera pacifica
1800,Xanthomonas hortorum
1801,Alcanivorax jadensis
1802,Alcaligenes faecalis
1804,Vibrio azureus
1811,Acidithiobacillus thiooxidans
1812,Vibrio diazotrophicus
1817,Stenotrophomonas lactitubi
1819,Pseudomonas citronellolis
1820,Acidithiobacillus ferrivorans
1821,Kingella kingae
1825,Photobacterium kishitanii
1826,Eubacterium callanderi
1830,Pandoraea fibrosis
1832,Chromobacterium vaccinii
1833,Xenorhabdus poinarii
1835,Lysobacter capsici
1836,Lysobacter daejeonensis
1841,Marinobacterium iners
1843,Xanthomonas pisi
1844,Xanthomonas axonopodis
1845,Acidovorax delafieldii
1846,Vreelandella aquamarina
1848,Aeromonas encheleia
1849,Azotobacter chroococcum
1850,Pectobacterium brasiliense
1851,Acinetobacter schindleri
1852,Sulfurospirillum arsenophilum
1854,Aeromonas sanarellii
1855,Aeromonas sobria
1856,Eubacterium maltosivorans
1857,Variovorax guangxiensis
1863,Stenotrophomonas acidaminiphila
1864,Vibrio fluvialis
1865,Photobacterium gaetbulicola
1866,Aeromonas jandaei
1867,Aeromonas rivuli
1869,Spiroplasma poulsonii
1870,Vibrio coralliirubri
1872,Aeromonas popoffii
1873,Rodentibacter caecimuris
1876,Aeromonas caviae
1877,Paraburkholderia tropica
1878,Beggiatoa leptomitoformis
1879,Spiroplasma phoeniceum
1880,Pandoraea faecigallinarum
1881,Campylobacter hyointestinalis
1882,Stenotrophomonas geniculata
1887,Pseudomonas panipatensis
1901,Paraburkholderia megapolitana
1904,Acinetobacter marinus
1905,Vibrio tritonius
1907,Halolactibacillus halophilus
1908,Stenotrophomonas terrae
1909,Pseudoalteromonas arabiensis
1910,Moraxella cuniculi
1911,Cupriavidus plantarum
1912,Vibrio metoecus
1913,Neptuniibacter pectenicola
1917,Campylobacter iguaniorum
1922,Eikenella corrodens
1928,Paraburkholderia rhizosphaerae
1929,Vibrio neptunius
1930,Stenotrophomonas ginsengisoli
1933,Serratia nevei
1935,Xanthomonas fragariae
1936,Blautia pseudococcoides
1938,Ralstonia insidiosa
1941,Alloalcanivorax xenomutans
1943,Aliivibrio sifiae
1946,Pseudoalteromonas shioyasakiensis
1949,Methylomonas koyamae
1950,Vibrio mediterranei
1951,Thauera butanivorans
1952,Moraxella lacunata
1953,Methylobacillus flagellatus
1954,Herminiimonas arsenicoxydans
1957,Delftia acidovorans
1958,Burkholderia glumae
1961,Pectobacterium aroidearum
1962,Neisseria sicca
1963,Vibrio sinaloensis
1990,Lacticaseibacillus casei
1993,Vibrio ichthyoenteri
1995,Cupriavidus taiwanensis
1996,Methylovulum miyakonense
1998,Vibrio rotiferianus
2002,Dyella jiangningensis
2004,Pseudoalteromonas tetraodonis
2005,Comamonas aquatica
2008,Xanthomonas cannabis
2010,Pseudoalteromonas fuliginea
2011,Vibrio nigripulchritudo
2012,Pseudoalteromonas undina
2015,Cupriavidus malaysiensis
2017,Vibrio coralliilyticus
2018,Vibrio mimicus
2021,Thiobacillus thioparus
2023,Salmonella enterica
2024,Burkholderia pseudomultivorans
2025,Domibacillus aminovorans
2026,Tatumella ptyseos
2031,Arenimonas oryziterrae
2034,Acinetobacter vivianii
2035,Rhodopseudomonas pseudopalustris
2036,Paraclostridium sordellii
2038,Clostridium botulinum
2039,Pseudoalteromonas luteoviolacea
2041,Acinetobacter venetianus
2052,Rhizobium altiplani
2054,Paraburkholderia silvatlantica
2056,Rhizobium rhizogenes
2058,Limosilactobacillus reuteri
2061,Lacticaseibacillus paracasei
2066,Gordonia alkanivorans
2067,Vibrio scophthalmi
2069,Streptomyces halstedii
2070,Rhizobium ruizarguesonis
2073,Lentilactobacillus parafarraginis
2074,Streptococcus pseudopneumoniae
2075,Ligilactobacillus acidipiscis
2076,Lentilactobacillus kisonensis
2077,Pantoea stewartii
2078,Liquorilactobacillus mali
2080,Gallibacterium anatis
2081,Streptococcus caballi
2086,Blastochloris viridis
2089,Photorhabdus khanii
2090,Ligilactobacillus salivarius
2091,Lactobacillus paragasseri
2092,Lacticaseibacillus rhamnosus
2093,Halodesulfovibrio aestuarii
2094,Saccharibacter floricola
2095,Propionispira raffinosivorans
2100,Thermoanaerobacterium aotearoense
2103,Caldimonas manganoxidans
2104,Rhodococcus opacus
2105,Neisseria weaveri
2107,Heyndrickxia acidiproducens
2108,Bacteroides gallinarum
2109,Kaistia granuli
2111,Agrobacterium tumefaciens
2113,Mycobacterium xenopi
2114,Marinobacterium litorale
2115,Streptococcus plurextorum
2117,Bavariicoccus seileri
2118,Streptococcus porci
2120,Rheinheimera baltica
2121,Streptococcus castoreus
2123,Prevotella corporis
2124,Streptomyces sp900105515
2125,Bacteroides pyogenes
2126,Jeotgalicoccus psychrophilus
2127,Varibaculum cambriense
2128,Chitinibacter tainanensis
2129,Psychromonas hadalis
2130,Bifidobacterium anseris
2137,Capnocytophaga bilenii
2140,Leptospira santarosai
2141,Magnetospirillum molischianum
2142,Cronobacter dublinensis
2146,Cronobacter condimenti
2149,Clostridium thermobutyricum
2150,Aggregatibacter aphrophilus
2152,Ligilactobacillus saerimneri
2153,Methylobacterium brachiatum
2162,Acinetobacter gyllenbergii
2163,Bacillus inaquosorum
2164,Escherichia fergusonii
2166,Leuconostoc lactis
2168,Megasphaera massiliensis
2169,Edwardsiella anguillarum
2171,Komagataeibacter europaeus
2173,Streptococcus hyovaginalis
2174,Liquorilactobacillus vini
2175,Staphylococcus intermedius
2177,Zavarzinella formosa
2179,Yersinia massiliensis
2184,Dickeya dianthicola
2188,Avibacterium paragallinarum
2189,Deinococcus wulumuqiensis
2191,Ligilactobacillus pobuzihii
2192,Acinetobacter tandoii
2195,Phaeobacter gallaeciensis
2196,Dickeya chrysanthemi
2197,Dickeya poaceiphila
2198,Prevotella melaninogenica
2202,Klebsiella africana
2203,Edwardsiella hoshinae
2204,Schaedlerella arabinosiphila
2206,Maridesulfovibrio frigidus
2208,Phocaeicola sartorii
2210,Acinetobacter modestus
2213,Fusobacterium hwasookii
2214,Enterovibrio nigricans
2218,Levilactobacillus brevis
2221,Corynebacterium falsenii
2223,Liquorilactobacillus nagelii
2226,Roseivivax marinus
2229,Agrilactobacillus composti
2234,Sphingobium indicum
2237,Acidocella aminolytica
2239,Rahnella aquatilis
2240,Rhizobium anhuiense
2241,Corynebacterium atypicum
2243,Bacillus tequilensis
2245,Ligilactobacillus equi
2246,Methylobacillus glycogenes
2248,Hoylesella shahii
2249,Asaia platycodi
2250,Asaia prunellae
2254,Nocardia otitidiscaviarum
2256,Pseudorhizobium pelagicum
2257,Sporanaerobacter acetigenes
2258,Lysinibacillus fusiformis
2259,Hathewaya proteolytica
2260,Phocaeicola vulgatus
2261,Prosthecobacter debontii
2265,Melissococcus plutonius
2266,Ruminobacter amylophilus
2267,Desulforhopalus singaporensis
2268,Bradyrhizobium yuanmingense
2269,Ancylobacter rudongensis
2270,Nocardia amikacinitolerans
2271,Sporosarcina newyorkensis
2273,Lactobacillus gigeriorum
2275,Xenorhabdus szentirmaii
2276,Corynebacterium mucifaciens
2277,Bifidobacterium biavatii
2278,Bacillus amyloliquefaciens
2279,Novosphingobium aromaticivorans
2280,Desulfotruncus arcticus
2281,Thorsellia anophelis
2284,Segatella salivae
2285,Pseudescherichia vulneris
